Id,Name,WOD_2__Units_Of_Measure__c,CurrencyIsoCode,WOD_2__Business_Unit__c,WOD_2__Business_Units__c,WOD_2__Item_Type__c,WOD_2__Major_Part__c,WOD_2__Parent_Product__c,WOD_2__Track_Type__c,WOD_2__Type__c,Business_Units_Text__c,Description_DE__c,Description_EN__c,Description_ES__c,Description_FR__c,Description_HU__c,Description_IT__c,Description_JA__c,Description_NL__c,Description_NO__c,Description_PL__c,Description_TR__c,Is_Active__c,Part_Return_Required__c,Photo_Required__c,Series_Code__c,TWOD_Eligible_for_Discount__c,Warranty_Product_Auto_Number__c,Warranty_Product_Code__c,Wearing_Part__c,KPAD_Number__c,Product_Name__c
a170E0000060TkuQAE,2.03E+17,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,a170E0000060TECQA2,Serialzied,Model,KBT-EU,KC100HST,KC100HST,KC100HST,KC100HST,,KC100HST,,KC100HST,,KC100HST,KC100HST,TRUE,FALSE,FALSE,2030000110,FALSE,2313,20300,FALSE,20300-00100,2.03E+17
a170E0000060TkvQAE,2.03E+17,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,a170E0000060TECQA2,Serialzied,Model,KBT-EU,KC 100HD,KC 100HD,KC 100HD,KC 100HD,,KC 100HD,,KC 100HD,,KC 100HD,KC 100HD,TRUE,FALSE,FALSE,2030000110,FALSE,2314,20300,FALSE,20300-00110,2.03E+17
a170E0000060TkwQAE,2.03E+17,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,a170E0000060TECQA2,Serialzied,Model,KBT-EU,KC120,KC120,KC120,KC120,,KC120,,KC120,,KC120,KC120,TRUE,FALSE,FALSE,2030000110,FALSE,2315,20300,FALSE,20300-00150,2.03E+17
a170E0000060TkxQAE,2.03E+17,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,a170E0000060TECQA2,Serialzied,Model,KBT-EU,KC121HST,KC121HST,KC121HST,KC121HST,,KC121HST,,KC121HST,,KC121HST,KC121HST,TRUE,FALSE,FALSE,2030000110,FALSE,2316,20300,FALSE,20300-00200,2.03E+17
a170E0000060TkyQAE,2.03E+17,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,a170E0000060TECQA2,Serialzied,Model,KBT-EU,KC110H,KC110H,KC110H,KC110H,,KC110H,,KC110H,,KC110H,KC110H,TRUE,FALSE,FALSE,2030000110,FALSE,2317,20300,FALSE,20300-00300,2.03E+17
a170E0000060TkzQAE,2.03E+17,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,a170E0000060TECQA2,Serialzied,Model,KBT-EU,KC110-4,KC110-4,KC110-4,KC110-4,,KC110-4,,KC110-4,,KC110-4,KC110-4,TRUE,FALSE,FALSE,2030000110,FALSE,2318,20300,FALSE,20300-00350,2.03E+17
a170E0000060Tl0QAE,2.03E+17,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,a170E0000060TECQA2,Serialzied,Model,KBT-EU,KC110HR,KC110HR,KC110HR,KC110HR,,KC110HR,,KC110HR,,KC110HR,KC110HR,TRUE,FALSE,FALSE,2030000110,FALSE,2319,20300,FALSE,20300-00400,2.03E+17
a170E0000060Tl1QAE,2.03E+17,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,a170E0000060TECQA2,Serialzied,Model,KBT-EU,KC250H,KC250H,KC250H,KC250H,,KC250H,,KC250H,,KC250H,KC250H,TRUE,FALSE,FALSE,2030000110,FALSE,2320,20300,FALSE,20300-00500,2.03E+17
a170E0000060Tl2QAE,2.03E+17,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,a170E0000060TECQA2,Serialzied,Model,KBT-EU,KC250-4,KC250-4,KC250-4,KC250-4,,KC250-4,,KC250-4,,KC250-4,KC250-4,TRUE,FALSE,FALSE,2030000110,FALSE,2321,20300,FALSE,20300-00550,2.03E+17
a170E0000060Tl3QAE,2.03E+17,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,a170E0000060TECQA2,Serialzied,Model,KBT-EU,KC250HR,KC250HR,KC250HR,KC250HR,,KC250HR,,KC250HR,,KC250HR,KC250HR,TRUE,FALSE,FALSE,2030000110,FALSE,2322,20300,FALSE,20300-00600,2.03E+17
a170E0000060Tl4QAE,2.03E+17,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,a170E0000060TECQA2,Serialzied,Model,KBT-EU,KC300,KC300,KC300,KC300,,KC300,,KC300,,KC300,KC300,TRUE,FALSE,FALSE,2030000110,FALSE,2323,20300,FALSE,20300-00700,2.03E+17
a170E0000060Tl5QAE,2.03E+17,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,a170E0000060TEDQA2,Serialzied,Model,KBT-EU,Sonderfarbe,Special paint,Pintura especial,Peinture spciale,,Special paint,,Special paint,,Special paint,Special paint,TRUE,FALSE,FALSE,2030000200,FALSE,2324,20300,FALSE,20300-00100,2.03E+17
a170E0000060Tl6QAE,2.03E+17,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,a170E0000060TEDQA2,Serialzied,Model,KBT-EU,Gebrauchtmaschine,Used machine,M quina usada,Machine d'occasion,,Used machine,,Used machine,,Used machine,Used machine,TRUE,FALSE,FALSE,2030000200,FALSE,2325,20300,FALSE,20300-00200,2.03E+17
a170E0000060Tl7QAE,2.04E+17,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,a170E0000060TEEQA2,Serialzied,Model,KBT-EU,K390,K390,K390,K390,,K390,,K390,,K390,K390,TRUE,FALSE,FALSE,2040000100,FALSE,2326,20400,FALSE,20400-00100,2.04E+17
a170E0000060Tl8QAE,2.04E+17,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,a170E0000060TEEQA2,Serialzied,Model,KBT-EU,K460,K460,K460,K460,,K460,,K460,,K460,K460,TRUE,FALSE,FALSE,2040000100,FALSE,2327,20400,FALSE,20400-00200,2.04E+17
a170E0000060Tl9QAE,2.04E+17,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,a170E0000060TEEQA2,Serialzied,Model,KBT-EU,K590,K590,K590,K590,,K590,,K590,,K590,K590,TRUE,FALSE,FALSE,2040000100,FALSE,2328,20400,FALSE,20400-00300,2.04E+17
